mepan_mepid,Groep,Parameter,Eenheid,Hoedanigheid,Berekening,Norm,Year,KRW_Value,mepan,mepid,X,Y
oOOSTAP001 (145502),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.012,oOOSTAP001,145502,179294.265,382069.79
oOOSTPL000 (345600),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oOOSTPL000,345600,151799.337,410899.833
oOOSTPL005 (140404),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oOOSTPL005,140404,151806,411209
oOPLOMB700 (140415),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oOPLOMB700,140415,190545,405643
oOUDEAA460 (900046),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.16,oOUDEAA460,900046,182047,383443
oOUDEAA800 (140241),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oOUDEAA800,140241,179182.014,386789.616
oPEELKA100 (341414),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oPEELKA100,341414,186301.4,397592
oPEELKA450 (341421),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.073,oPEELKA450,341421,181375.117,402713.363
oPEELKA650 (341422),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.13,oPEELKA650,341422,179346,408144
oPEELKA800 (900048),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.086,oPEELKA800,900048,181917,411328
